dataset,filename,lleboul,mtorte
MADW,2020_05_26_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_26_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_27_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_28_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_28_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_29_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_29_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_29_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_30_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_30_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_30_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_30_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_31_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_05_31_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_02_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_03_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_03_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_03_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_03_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_04_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_04_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_04_22_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_05_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_05_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_06_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_07_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_07_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_07_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_07_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_07_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_08_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_08_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_09_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_10_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_10_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_11_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_11_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_11_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_11_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_11_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_12_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_12_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_06_12_13_00_00_000000+0000.wav,FINISHED,CREATED
