dataset,filename,bcolon,mdupon
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_40_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_40_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_40_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_40_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_41_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_42_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_42_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_42_27.wav,FINISHED,FINISHED
